REPORT_DATE,Country,TotalPositiveCases,TotalDeaths
12/31/2019,Brazil,0,0
1/1/2020,Brazil,0,0
1/2/2020,Brazil,0,0
1/3/2020,Brazil,0,0
1/4/2020,Brazil,0,0
1/5/2020,Brazil,0,0
1/6/2020,Brazil,0,0
1/7/2020,Brazil,0,0
1/8/2020,Brazil,0,0
1/9/2020,Brazil,0,0
1/10/2020,Brazil,0,0
1/11/2020,Brazil,0,0
1/12/2020,Brazil,0,0
1/13/2020,Brazil,0,0
1/14/2020,Brazil,0,0
1/15/2020,Brazil,0,0
1/16/2020,Brazil,0,0
1/17/2020,Brazil,0,0
1/18/2020,Brazil,0,0
1/19/2020,Brazil,0,0
1/20/2020,Brazil,0,0
1/21/2020,Brazil,0,0
1/22/2020,Brazil,0,0
1/23/2020,Brazil,0,0
1/24/2020,Brazil,0,0
1/25/2020,Brazil,0,0
1/26/2020,Brazil,0,0
1/27/2020,Brazil,0,0
1/28/2020,Brazil,0,0
1/29/2020,Brazil,0,0
1/30/2020,Brazil,0,0
1/31/2020,Brazil,0,0
2/1/2020,Brazil,0,0
2/2/2020,Brazil,0,0
2/3/2020,Brazil,0,0
2/4/2020,Brazil,0,0
2/5/2020,Brazil,0,0
2/6/2020,Brazil,0,0
2/7/2020,Brazil,0,0
2/8/2020,Brazil,0,0
2/9/2020,Brazil,0,0
2/10/2020,Brazil,0,0
2/11/2020,Brazil,0,0
2/12/2020,Brazil,0,0
2/13/2020,Brazil,0,0
2/14/2020,Brazil,0,0
2/15/2020,Brazil,0,0
2/16/2020,Brazil,0,0
2/17/2020,Brazil,0,0
2/18/2020,Brazil,0,0
2/19/2020,Brazil,0,0
2/20/2020,Brazil,0,0
2/21/2020,Brazil,0,0
2/22/2020,Brazil,0,0
2/23/2020,Brazil,0,0
2/24/2020,Brazil,0,0
2/25/2020,Brazil,0,0
2/26/2020,Brazil,1,0
2/27/2020,Brazil,0,0
2/28/2020,Brazil,0,0
2/29/2020,Brazil,0,0
3/1/2020,Brazil,1,0
3/2/2020,Brazil,0,0
3/3/2020,Brazil,0,0
3/4/2020,Brazil,0,0
3/5/2020,Brazil,1,0
3/6/2020,Brazil,5,0
3/7/2020,Brazil,5,0
3/8/2020,Brazil,0,0
3/9/2020,Brazil,12,0
3/10/2020,Brazil,0,0
3/11/2020,Brazil,9,0
3/12/2020,Brazil,18,0
3/13/2020,Brazil,25,0
3/14/2020,Brazil,21,0
3/15/2020,Brazil,23,0
3/16/2020,Brazil,79,0
3/17/2020,Brazil,34,0
3/18/2020,Brazil,57,1
3/19/2020,Brazil,137,3
3/20/2020,Brazil,193,2
3/21/2020,Brazil,283,5
3/22/2020,Brazil,224,7
3/23/2020,Brazil,418,7
3/24/2020,Brazil,345,9
3/25/2020,Brazil,310,12
3/26/2020,Brazil,232,11
3/27/2020,Brazil,482,20
3/28/2020,Brazil,502,15
3/29/2020,Brazil,487,22
3/30/2020,Brazil,352,22
3/31/2020,Brazil,323,23
4/1/2020,Brazil,1138,42
4/2/2020,Brazil,1119,40
4/3/2020,Brazil,1074,58
4/4/2020,Brazil,1146,60
4/5/2020,Brazil,1222,73
4/6/2020,Brazil,852,54
4/7/2020,Brazil,926,67
4/8/2020,Brazil,1661,114
4/9/2020,Brazil,2210,133
4/10/2020,Brazil,1930,141
4/11/2020,Brazil,1781,115
4/12/2020,Brazil,1089,68
4/13/2020,Brazil,1442,99
4/14/2020,Brazil,1261,105
4/15/2020,Brazil,1832,204
4/16/2020,Brazil,3058,204
4/17/2020,Brazil,2105,188
4/18/2020,Brazil,3257,217
4/19/2020,Brazil,2917,206
4/20/2020,Brazil,2055,115
4/21/2020,Brazil,1927,113
4/22/2020,Brazil,2498,166
4/23/2020,Brazil,2678,165
4/24/2020,Brazil,3735,407
4/25/2020,Brazil,3503,357
4/26/2020,Brazil,5514,346
4/27/2020,Brazil,3379,189
4/28/2020,Brazil,4613,338
4/29/2020,Brazil,5385,474
4/30/2020,Brazil,6276,449
5/1/2020,Brazil,7218,435
5/2/2020,Brazil,6209,428
5/3/2020,Brazil,4970,421
5/4/2020,Brazil,4588,275
5/5/2020,Brazil,6633,296
5/6/2020,Brazil,6935,600
5/7/2020,Brazil,10503,615
5/8/2020,Brazil,9888,610
5/9/2020,Brazil,10222,751
5/10/2020,Brazil,10611,730
5/11/2020,Brazil,6760,496
5/12/2020,Brazil,5632,396
5/13/2020,Brazil,9258,881
5/14/2020,Brazil,11385,749
5/15/2020,Brazil,13944,844
5/16/2020,Brazil,15305,824
5/17/2020,Brazil,14919,816
5/18/2020,Brazil,7938,485
5/19/2020,Brazil,13140,674
5/20/2020,Brazil,17408,1179
5/21/2020,Brazil,19951,888
5/22/2020,Brazil,18508,1188
5/23/2020,Brazil,20803,1001
5/24/2020,Brazil,16508,965
5/25/2020,Brazil,15813,653
5/26/2020,Brazil,11687,807
5/27/2020,Brazil,16324,1039
5/28/2020,Brazil,20599,1086
5/29/2020,Brazil,26417,1156
5/30/2020,Brazil,26928,1124
5/31/2020,Brazil,33274,956
6/1/2020,Brazil,16409,480
6/2/2020,Brazil,11598,623
6/3/2020,Brazil,28936,1262
6/4/2020,Brazil,28633,1349
6/5/2020,Brazil,30916,1473
6/6/2020,Brazil,30830,1005
6/7/2020,Brazil,27075,904
6/8/2020,Brazil,18921,525
6/9/2020,Brazil,15654,679
6/10/2020,Brazil,32091,1272
6/11/2020,Brazil,32913,1274
6/12/2020,Brazil,30412,1239
6/13/2020,Brazil,25982,909
6/14/2020,Brazil,21704,892
6/15/2020,Brazil,17110,612
6/16/2020,Brazil,20647,627
6/17/2020,Brazil,34918,1282
6/18/2020,Brazil,32188,1269
6/19/2020,Brazil,22765,1238
6/20/2020,Brazil,54771,1206
6/21/2020,Brazil,34666,1022
6/22/2020,Brazil,17459,641
6/23/2020,Brazil,21432,654
6/24/2020,Brazil,39436,1374
6/25/2020,Brazil,42725,1185
6/26/2020,Brazil,39483,1141
6/27/2020,Brazil,46860,990
6/28/2020,Brazil,38693,1109
6/29/2020,Brazil,30476,552
6/30/2020,Brazil,24052,692
7/1/2020,Brazil,33846,1280
7/2/2020,Brazil,46712,1038
7/3/2020,Brazil,48105,1252
7/4/2020,Brazil,42223,1290
7/5/2020,Brazil,37923,1091
7/6/2020,Brazil,26051,602
7/7/2020,Brazil,20229,620
7/8/2020,Brazil,45305,1254
7/9/2020,Brazil,44571,1223
7/10/2020,Brazil,42619,1220
7/11/2020,Brazil,45048,1214
7/12/2020,Brazil,39023,1071
7/13/2020,Brazil,24831,631
7/14/2020,Brazil,20286,733
7/15/2020,Brazil,41857,1300
7/16/2020,Brazil,39924,1233
7/17/2020,Brazil,45403,1322
7/18/2020,Brazil,34177,1163
7/19/2020,Brazil,28532,921
7/20/2020,Brazil,23529,716
7/21/2020,Brazil,20257,632
12/31/2019,Chile,0,0
1/1/2020,Chile,0,0
1/2/2020,Chile,0,0
1/3/2020,Chile,0,0
1/4/2020,Chile,0,0
1/5/2020,Chile,0,0
1/6/2020,Chile,0,0
1/7/2020,Chile,0,0
1/8/2020,Chile,0,0
1/9/2020,Chile,0,0
1/10/2020,Chile,0,0
1/11/2020,Chile,0,0
1/12/2020,Chile,0,0
1/13/2020,Chile,0,0
1/14/2020,Chile,0,0
1/15/2020,Chile,0,0
1/16/2020,Chile,0,0
1/17/2020,Chile,0,0
1/18/2020,Chile,0,0
1/19/2020,Chile,0,0
1/20/2020,Chile,0,0
1/21/2020,Chile,0,0
1/22/2020,Chile,0,0
1/23/2020,Chile,0,0
1/24/2020,Chile,0,0
1/25/2020,Chile,0,0
1/26/2020,Chile,0,0
1/27/2020,Chile,0,0
1/28/2020,Chile,0,0
1/29/2020,Chile,0,0
1/30/2020,Chile,0,0
1/31/2020,Chile,0,0
2/1/2020,Chile,0,0
2/2/2020,Chile,0,0
