Population,Longitude,Latitude,Country,TotalPositiveCases,TotalDeaths,PositiveCasesPerMillion,DeathsPerMillion,Continent
37172386,66.2385139,33.7680065,Afghanistan,35615,1186,958.1036848159275,31.905404189012778,Asia
2866376,19.9999619,41.000028,Albania,4171,113,1455.1475451929546,39.422601919636506,Europe
42228429,2.9999825,28.000027199999998,Algeria,23691,1087,561.020160139038,25.74095285429633,Africa
77006,1.5732033,42.540716700000004,Andorra,884,52,11479.624964288498,675.2720567228528,Europe
30809762,17.5691241,-11.877576800000002,Angola,749,29,24.310476659962514,0.9412601109998838,Africa
15094,-63.07502339999999,18.195494699999998,Anguilla,3,0,198.75447197561945,0.0,America
96286,-61.9554608,17.223472100000002,Antigua and Barbuda,76,3,789.3151652368985,31.15717757514073,America
44494502,-64.9672817,-34.9964963,Argentina,130761,2373,2938.8125301413643,53.332431948558494,America
2951776,44.6736646,40.7696272,Armenia,34981,650,11850.831499409169,220.20641132660472,Europe
105845,-69.9618475,12.5013629,Aruba,115,3,1086.4944021918843,28.343332231092635,America
24982688,134.755,-24.7761086,Australia,12069,123,483.09453330242127,4.923409362515354,Oceania
8840521,13.199959,47.2000338,Austria,19679,711,2226.0000287313383,80.42512426586623,Europe
9939800,47.787250799999995,40.3936294,Azerbaijan,27890,363,2805.8914666291075,36.5198494939536,Europe
387637,-78.0000547,24.7736546,Bahamas,174,11,448.87355954152986,28.37706410894729,America
1569439,50.5344606,26.155124899999997,Bahrain,36936,128,23534.524119765087,81.55780505008478,Asia
161356039,90.2932426,24.4768783,Bangladesh,207453,2668,1285.6847582878506,16.53486300565422,Asia
286641,-59.52503050000001,13.1500331,Barbados,106,7,369.8005519098803,24.42079116386002,America
9483499,27.6971358,53.4250605,Belarus,66213,503,6981.91669551502,53.03949523271948,Europe
11433256,4.666714499999999,50.6402809,Belgium,64094,9805,5605.927130469221,857.5859755086391,Europe
383071,-88.7600927,16.8259793,Belize,42,2,109.64024945767234,5.220964259889159,America
11485048,2.2584408,9.5293472,Benin,1602,31,139.4857034990189,2.6991615533518014,Africa
63973,-64.7603583,32.3018217,Bermuda,153,9,2391.633970581339,140.684351210667,America
754394,90.5119273,27.549511,Bhutan,90,0,119.30105488643866,0.0,Asia
11353142,-64.9912286,-17.056869600000002,Bolivia,60991,2218,5372.169219763128,195.36441982316435,America
25987,-68.29096143734236,12.167,"Bonaire, Saint Eustatius and Saba",10,0,384.80778850963947,0.0,America
3323929,17.596146700000002,44.305347600000005,Bosnia and Herzegovina,8591,256,2584.591909153294,77.01728887710898,Europe
2254126,24.5928742,-23.1681782,Botswana,522,1,231.57534228343934,0.44363092391463477,Africa
209469333,-53.2,-10.333333300000001,Brazil,2118646,80120,10114.349292361569,382.49035719228647,America
29802,-64.5661642,18.4024395,British Virgin Islands,8,1,268.4383598416214,33.55479498020267,America
428962,114.5653908,4.4137154999999995,Brunei Darussalam,141,3,328.70044432840206,6.993626475072384,Asia
7025037,25.4856617,42.6073975,Bulgaria,8929,308,1271.0253341014431,43.84318545226167,Europe
19751535,-1.6880313999999998,12.075308300000001,Burkina Faso,1065,53,53.91985989949642,2.683335750866958,Africa
11175378,29.8870575,-3.3634357,Burundi,322,1,28.813343047546134,0.08948243182467742,Africa
16249798,104.869423,13.5066394,Cambodia,197,0,12.123227624121851,0.0,Asia
25216237,13.153581099999998,4.6125522000000005,Cameroon,16157,373,640.7379499169523,14.792056403974946,Africa
37057765,-107.9917071,61.0666922,Canada,111288,8859,3003.0953026983684,239.059209318209,America
543767,-24.0083947,16.0000552,Cape Verde,2071,21,3808.616558194962,38.61948224147475,Africa
64174,-80.5667132,19.5417212,Cayman Islands,203,1,3163.274846511048,15.582634711877086,America
4666377,19.9981227,7.0323598,Central African Republic,4548,55,974.6319253673674,11.786445887248288,Africa
15477751,19.015617199999998,15.613413699999999,Chad,889,75,57.43728530068742,4.845665239090614,Africa
18729160,-71.3187697,-31.7613365,Chile,333029,8633,17781.310000021356,460.9389849838434,America
1392730000,104.999927,35.000074,China,85697,4646,61.53166801892685,3.335894250859822,Asia
49648685,-73.78389200000001,2.8894433999999998,Colombia,204005,6929,4108.970861967442,139.5605946058793,America
832322,44.2832964,-12.204517599999999,Comoros,334,7,401.28700190551257,8.410206626762239,Africa
5510407,15.6419155,-0.7264326999999999,Congo,2851,50,517.3846505348879,9.073739925199718,Africa
4999441,-84.0739102,10.2735633,Costa Rica,11534,66,2307.057929076471,13.201475925008415,America
26339495,-5.5679457999999995,7.9897371,Cote dIvoire,14312,92,543.3665299961142,3.49285360254629,Africa
4087843,17.0118954,45.5643442,Croatia,4370,122,1069.0234434150236,29.844590411128806,Europe
11338138,-80.8328748,23.013133800000002,Cuba,2446,87,215.7320717034843,7.67321759534061,America
162752,-68.9640875031406,12.1845,Curaçao,28,1,172.0408965788439,6.14431773495871,America
1189265,33.1451285,34.982301799999995,Cyprus,1038,19,872.8079948539645,15.976254241064861,Europe
10665677,15.4749544,49.816700299999994,Czechia,14098,359,1321.8101391969774,33.659372958697325,Europe
84068091,23.822263600000003,-2.9814344,Democratic Republic of the Congo,8442,194,100.41859996559218,2.3076532093490743,Africa
5793636,10.333328300000002,55.670249,Denmark,13262,611,2289.0633791974506,105.46054325815429,Europe
958920,42.8453061,11.8145966,Djibouti,5020,56,5235.0561047845495,58.39903224460852,Africa
71625,-70.30280259999999,19.0974031,Dominica,18,0,251.30890052356023,0.0,America
10627165,-70.30280259999999,19.0974031,Dominican Republic,53956,993,5077.177215183918,93.43978379934818,America
17084357,-79.3666965,-1.3397668,Ecuador,74620,5318,4367.73827660005,311.2789085360368,America
98423598,29.2675469,26.254049300000002,Egypt,88402,4352,898.1789103056362,44.217038275719204,Africa
6420744,-88.9140683,13.800038199999998,El Salvador,12207,352,1901.1815453162437,54.82230719679838,America
1308974,10.5170357,1.6131719999999998,Equatorial Guinea,3071,51,2346.1122986400032,38.96181283967443,Africa
3452786,37.999966799999996,15.950031900000003,Eritrea,251,0,72.69491940711066,0.0,Africa
1321977,25.3319078,58.75237779999999,Estonia,2021,69,1528.7709241537486,52.194554065615364,Europe
1136191,31.399131699999998,-26.562480600000004,Eswatini,1826,23,1607.1241543015215,20.24307532800383,Africa
109224559,38.6521203,10.211670199999999,Ethiopia,10207,170,93.44967920630378,1.5564265175929892,Africa
2840,-59.5500387,-51.9666424,Falkland Islands (Malvinas),13,0,4577.4647887323945,0.0,America
48497,-7.032297200000001,62.044872399999996,Faroe Islands,191,0,3938.387941522156,0.0,Europe
883483,179.0122737,-18.123969600000002,Fiji,26,0,29.42897599614254,0.0,Oceania
5515525,25.9209164,63.2467777,Finland,7343,328,1331.3329193503791,59.46850027875859,Europe
66977107,1.8883334999999999,46.603353999999996,France,176754,30177,2639.021121052601,450.55693432682904,Europe
277679,-146.0490931059517,-16.03442485,French Polynesia,62,0,223.27939815398355,0.0,Oceania
2119275,11.689969900000001,-0.8999695,Gabon,6433,46,3035.4720364275518,21.705536091351995,Africa
2280094,-15.4900464,13.470061999999999,Gambia,112,4,49.12078186250216,1.7543136379465056,Africa
3726549,-83.1137366,32.329380900000004,Georgia,1039,16,278.81023434818644,4.293516602089493,Europe
82905782,10.4234469,51.0834196,Germany,202345,9090,2440.662100020961,109.64253373787608,Europe
29767108,-1.0800271000000001,8.0300284,Ghana,28430,153,955.0810243306134,5.139901397206608,Africa
33718,-5.3541295,36.140807,Gibraltar,180,0,5338.394922593273,0.0,Europe
10731726,21.987713199999998,38.995368299999996,Greece,4012,195,373.84480371563717,18.17042291240011,Europe
56025,-42.8125967,77.61923490000001,Greenland,13,0,232.03926818384647,0.0,America
111454,-61.69040450000001,12.136037400000001,Grenada,23,0,206.3631632781237,0.0,America
17247807,-89.8988087,15.635608800000002,Guatemala,39039,1502,2263.418184120451,87.0835347357493,America
170499,-2.5290434448309886,49.57952020000001,Guernsey,252,13,1478.0145338095824,76.24678150604989,Europe
12414318,-10.7083587,10.7226226,Guinea,6590,40,530.8386654828723,3.2220859816866296,Africa
1874303,-14.9000214,12.100035,Guinea Bissau,1950,26,1040.3867464332075,13.871823285776099,Africa
779004,-58.64168910000001,4.8417097,Guyana,337,19,432.6036836781326,24.390118664345753,America
11123176,-72.35709720000001,19.139995199999998,Haiti,7063,146,634.9805127600247,13.12574753829302,America
801,-77.06572732690151,38.9247244,Holy See,12,0,14981.2734082397,0.0,Europe
9587522,-86.0755145,15.2572432,Honduras,34611,935,3610.004754096001,97.52259238622868,America
9775564,19.5060937,47.1817585,Hungary,4347,596,444.6802251000556,60.968349243071806,Europe
352721,-18.1059013,64.9841821,Iceland,1930,10,5471.746791373352,28.351019644421513,Europe
1352617328,78.6677428,22.3511148,India,1155191,28084,854.0412547487341,20.762709022459013,Asia
267663435,117.89028529999999,-2.4833826,Indonesia,88214,4239,329.57060421794256,15.837052976623422,Asia
83946330,54.56435160000001,32.6475314,Iran,276202,14405,3290.221263990933,171.5977339330975,Asia
38433600,44.174977500000004,33.0955793,Iraq,94693,3869,2463.807709920486,100.66712459930895,Asia
4867309,-7.9794599,52.865196,Ireland,25766,1753,5293.684867757523,360.15794353717837,Europe
84077,-4.514598745698255,54.2358167,Isle of Man,336,24,3996.3366913662476,285.45262081187485,Europe
8882800,34.8667654,31.531311300000002,Israel,51676,415,5817.535011482865,46.71950285945873,Asia
60421760,12.674297,42.6384261,Italy,244624,35058,4048.607653931299,580.2214301602602,Europe
2934855,-77.1598454610168,18.115295800000002,Jamaica,809,10,275.6524598319167,3.407323360097858,America
